Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
I need an experienced long-term YouTube video editor,"Video, Photo & Image",Expert ($$$),Filmmaking,USD,123.0,remote,ALL,fixed_price,2023-01-27 05:49:43,"I am looking to hire someone to do ongoing video editing for my YouTube channel. Many of my videos are interviews (podcast style) which means that they are longer, but the bulk of the video requires minimal editing. 

Here is an example of a past video of mine like this: [https://www.youtube.com/watch?v=xw1eejfZYpU&t=2079s](https://www.youtube.com/watch?v=xw1eejfZYpU&t=2079s)

The raw video is typically about 45 minutes long, with the final edited video being only a few minutes shorter than that. 

If you’re interested, it would be great to know (ballpark range) what you would charge for this type of project. 

Once you let me know, if this falls within my budget and you are interested in proceeding, I’ll send you a video to edit and have you edit just the first 5 minutes so that I can get a sense of your work. (Paid of course!) 

Attached is the video editing outline for this project so that you can get a sense of what’s involved. 

Thanks!",,2023-01-26,San Francisco,United States,USD,
Car sign/wrap design,Design,Expert ($$$),Graphic Design,USD,109.0,remote,ALL,fixed_price,2023-01-27 03:00:03,"I need a car sign designed for our company vehicles 
",,2021-08-29,London,United Kingdom,USD,
UK legal advice for my small rental clothing company,Business,Intermediate ($$),Legal Services,GBP,200.0,remote,ALL,fixed_price,2023-01-27 02:53:52,"I need some legal advice on two matters related to my clothing rental company in the UK, firstly we recently rented some items to a customer who has failed to return these items to us using the prepaid returns label provided. 

Secondly, I had rented out a bag to a client last year, she didn't return it and had damaged the earrings. We reached out to her as she would have to replace/repair the goods in line with our terms and conditions, however she claimed that the bag was sent back. We then decided to file a dispute through the small claims court, she then asked us for a mediation call through the courts which we then agreed to. She didn't bother turning up to this, so we proceeded to submit our witness statement and bundle. We then had to pay over £350 for the hearing fee. The court hearing took place last week, I had written to the court to inform them that I wouldn't be in attendance, however it seems that they receive that and my absence was taken negatively and the claim was struck out. FYI she didn't attend either, I would like to revisit this as she is sitting on an expensive bag and I think we were treated incredibly unfairly by the court. ",,2018-08-29,Watford,United Kingdom,GBP,
Social Media Expert,Social Media,Entry ($),Social Media Strategy,GBP,150.0,remote,ALL,fixed_price,2023-01-27 03:00:18,"Hello,

I am looking for a consummate social media expert. 

The goal is to help us produce and post engaging, high value content with an emphasis on quality as opposed to creating very high volumes of low value content.

We are primarily interested in getting it right and are looking for someone to work with on a long term basis.

The selected candidate will be expected to participate in scheduled video / audio calls as part of the project.

To help rule out bots etc, please include the phrase HOUSE COSMIC in your proposal.

Please note the following:
1) Familiarity with Twitter, Instagram, Facebook & TikTok is a must
2) Ability to research a given topic on your own initiative is a must
3) Post spamming is NOT acceptable
4) Very good English is a must
5) Provision of clear timeframes is a must
6) Clear, regular and detailed communication in plain English is a must (waiting a few days for a response to messages is not acceptable)

*** Apply with examples of content you have created previously",,2015-10-31,London,United Kingdom,GBP,Web Developer
i need a database for uk people ,"Marketing, Branding & Sales",Entry ($),Sales & Calls,GBP,30.0,remote,ALL,fixed_price,2023-01-27 02:49:58,"im looking for a database of uk homeowners (40+ male or female)customers for lead calling - ideally will include address and also full phone number mobile or home

will pay depending on quantity and also how detailed the database is",,2016-05-17,Tadcaster,United Kingdom,GBP,Paid Social Media Manager
A FUTURISTIC MODERN LOGO FOR A NEW PROPERTY DEVELOPMENT COMPANY,Design,Entry ($),Logo Design,USD,50.0,remote,ALL,fixed_price,2023-01-27 02:49:31,"TIVARGIA : A NEW PROPERTY DEVELOPMENT COMPANY

THE BRIEF FOR THE LOGO.

We would like you to provide 3 options. It is light based and it needs to be modern quirky and created for the modern and futuristic world.

DESCRIPTION OF THE ESSENCE OF THE BRAND
We are a collective of light, which is what Tivargia means.
Our aim is to bring light into people’s life by creating dynamic spaces that give people an amazing living experience. This is the essence of our mission. With an enhanced living experience, we would be aiming to bring so much joy and wellbeing 
to the world.


INTELLECTUAL PROPERTY RIGHTS.
Once the logos have been signed off and paid for, we would own all the intellectual property rights globally. The final artwork has to be released in the vector format illustrator or similar.


We only want genuine artists to bid with their own work.

",,2015-08-19,London,United Kingdom,USD,CEO
Restaurant Interior Design,Design,Expert ($$$),Interior/Exterior Design,GBP,215.0,remote,ALL,fixed_price,2023-01-27 02:49:20,"Require assistance with interior decoration of restaurant area in a traditional, historic building in England. You will specify colour schemes, accessories, furnishings source details for any items/materials specified. You will need to make use of existing tables, chairs, floor and some lighting.

Would require 2 or 3 different designs and then fine tune final design.

Final design must include 2D colour visuals, details of colours and accessories utilised.
I can provide floor plans and photos of existing space. Happy discuss ideas, options and wall coverings.
Please provide time guidlines as on a tight schedule.
",,2018-01-11,Windsor,United Kingdom,GBP,
I need a researcher and writer for my YouTube video outlines,Writing & Translation,Entry ($),Content Writing,USD,70.0,remote,ALL,fixed_price,2023-01-27 02:48:50,Looking for ongoing long-term services (paying on a project by project  basis) for someone to research topics pertaining to mental and physical health and write YouTube video outlines for this. ,,2023-01-26,San Francisco,United States,USD,
Digital Sustainability - New Research PR Creation & Syndication,"Marketing, Branding & Sales",Expert ($$$),Public Relations,GBP,120.0,remote,ALL,fixed_price,2023-01-27 02:48:11,"Hi, My team at Green Clicks have performed some research around website emissions, and what we have found is startling. Can you help raise the awareness of our data, and share the insights with a Press Release that you would write to announce the research, and summarising some of the findings? 

Ideally, I need a Press Release written and syndicated. So you would need to identify the right publishers for this to be sent to, and ideally over 50 emails sent.",,2014-11-05,London,United Kingdom,GBP,Freelance SEO London
Long-term management of my Instagram account & Facebook group,Social Media,Expert ($$$),Instagram Marketing,USD,150.0,remote,ALL,fixed_price,2023-01-27 02:47:57,"I'm looking for someone to manage my social media content that corresponds with my YouTube Channel. The channel is called 'Raelan Agle' if you'd like to check it out! 

What I'm looking for is the following:

Instagram:

- Three video clips per week taken from my YouTube interviews with subtitles added, post caption, relevant hashtags. ( I will provide the video clips, but the rest will need to be added)
- One quote per week. (I will provide the quotes). Template, post caption and hashtags needed.
- One themed post per week. (Right now the theme is food, I will provide pictures or video for some of this, others would need to be created when I don't have anything.)
- Review messages and move anything that I might need to respond to to the 'primary' inbox. Repost any mentions, provide generic responses to general dms.

Private Facebook group (about 6000 members):

- Once per week share an interview video clip along with a summary of the interview (I will provide summary)
- Once per week welcome post to new members
- Once per week 'Friday wins' post with caption
- Be an admin of the group (accept member requests as appropriate, review and approve as appropriate 'pending approval' posts, review and delete as appropriate 'potential spam' that's flagged, review and manage reported posts from group members)
*NO need to manage messages or DMs for this, just admin items and posts

I'm not sure how to set the budget through this platform since I'm looking for ongoing services paid monthly. (Budget is flexible) Thanks in advance for taking the time to consider this!

Raelan",,2023-01-26,San Francisco,United States,USD,
I need a flyer creating to publicise my Therapy Business,Design,Entry ($),Cards & Stationery,GBP,20.0,remote,ALL,fixed_price,2023-01-27 02:48:27,"I need help to create an eye catching flyer that captures the brand of my therapy business to attract new clients.  The flyer will be posted in shop windows, delivered to local businesses and homes to let them know about me.  I'm not very good at using engaging marketing wording - so any help would be appreciated please :)

A5 size
Must include my logo and pictures of me and my therapy room
Key wording to include:-
- New client offer - any 60min treatment £35
- Gift Vouchers and Gift Bags available
- Therapeutic Massage, Reflexology, Natural Facelift, Hot Stone Massage, Indian Head Massage
- Seasonal Experiences available - NEW for Mothers Day - Rosey Glow
- 07305399253
- www.theretreatwithtracy.com
- ask@theretreatwithtracy.com
- Rangewood Road, South Normanton, DE55 3BS
- follow me on facebook for the latest news from The Retreat, Special Offers, Tips and Advice, New Seasonal Experiences - facebook.com/theretreatwithtracy",,2023-01-26,Alfreton,United Kingdom,GBP,
Reposted - End of year accounts micro entity/dormant ltd,Business,Entry ($),Finance & Accounting,GBP,95.0,remote,ALL,fixed_price,2023-01-27 02:47:45,"I started a Ltd in Sep 2021 but didn’t really get it running. There is about 50 transactions on the bank statement with the last transaction in Sep 2022. I am looking for an accountant to help me with the required submissions to hmrc and companies house for the company to then become dormant. The bank account is still open with £60 within.
",,2023-01-26,Liverpool,United Kingdom,GBP,
Help our team fix an issue with AWS,Technology & Programming,Entry ($),Website Development,USD,50.0,remote,ALL,fixed_price,2023-01-27 02:46:38,"Our current project has some issues with Amazon Web Service and the backend code.
We are looking for someone who knows the ins-and-outs of AWS to work with our developer for a couple of hours.

I do not know the technical details, you are going to chat with our developer to know more about it.  In short, the back end has issue communicating with AWS.

Please only reply if you know AWS.

To make sure the job description was read, please start your reply with ""Tomatoes"". ",,2021-10-23,Daly City,United States,USD,Photographer
Create Educational Course Website Wordpress WooCommerce,Technology & Programming,Intermediate ($$),Website Development,GBP,200.0,remote,ALL,fixed_price,2023-01-26 21:00:45,"Hello,

I already have the Domain for the website.

I need a specialist who can help me build a website in WooCommerce or other

The site will be a platform to buy my trading course that is an online mentoring course.
I will provide all the videos that need to be in the course and uploaded to the website.

I need to be able to direct clients to this site, who can purchase the course and have access to it online to be able to watch all my videos and progress with their learning.

I will be starting off with one course, a masterclass in trading forex and crypto.

I want the design of the site to be modern and sleek, animated, colourful.

Pages:

Home Page
The Team
Courses (Only one available for now, will look at adding another course in the future if this does well)
FAQ’s
Clients
Traders Room (Blog)
Log in / Register
Contact Us
JOIN MY TRADING BROKER (Will provide link for redirect)

In the future, i will also be adding a shop to the site where clients can purchase trading merchandise and a monthly subscription to my VIP trades room. Please make sure the site is able to add this.

I need someone to make it specifically about the business and myself and also make sure that once paid for the course clients have access to all learning material. I am willing to pay upto 50$ for a template (please send me your template ideas)

Things I want:

 (Modern, Responsive, Great Courses Page, Online Learning)

(Creative, Fonts are nice, i want this to be specific to my course as i am only selling 1 course for now)

(Nice use of animations, i really want the site to come accross modern with clean animations, super clean fonts and vibrant colours to match my logo. Black, Blue, Purple, White)

The trading course i have made will be sold is for 349GBP. Do you have a way to change currency selection as we may have clients in Europe and UAE.

To apply for this job, let me know you can complete a Wordpress high end site, that allows the course to be purchased and then clients are allowed access to the online video course which will be split into 4 Modules.

Please Provide me 2 Examples on a site you have built?

Please provide a time frame. How long will it take you to complete this site, that we are ready to go live and everything works perfectly?

If you feel another platform apart from woocommerce will better fit this job, please let me know and why?

Do you have a way we can have the website in 4 languages? English, Spanish, French, Arabic

Job Budget: 200GBP FINAL (I will not increase this, please do not ask)

I am happy to provide a 40% deposit, and 60% on completion of the site.


I look forward to working with you

Regards,


Aly
",,2023-01-19,Sale,United Kingdom,GBP,
Virtual Assistant ,Business,Expert ($$$),Administration Assistance,GBP,1000.0,remote,ALL,fixed_price,2023-01-26 20:17:49,"We are looking for a talented Virtual Assistant to help us in our Linkedin outreach efforts, keeping us organized ie. schedule management. Email Management .",,2023-01-26,London,United Kingdom,GBP,
Welcome Online coaching fitness pack,Design,Entry ($),Illustration & Drawing,GBP,60.0,remote,ALL,fixed_price,2023-01-26 20:06:34,"Hi i need a online coaching welcome pack made

i will provide you with everything in terms of what i want on there

Thanks",,2022-09-28,Sheffield,United Kingdom,GBP,
SEO Optomised Content Required For An Accountancy Website,Writing & Translation,Expert ($$$),Content Writing,GBP,80.0,remote_country,GB,fixed_price,2023-01-26 19:45:03,"We have a word-press site being designed and built at the moment which is very close to completion.

We now require highly professional SEO content to be created for us by someone who can tell a storey for our accountancy brand website as well as write great descriptions for the website pages and sections.

Basically make our site sound great.

Ideally someone who understands accounts or has experience writing content for accountancy firms.",1 - 2 weeks,2020-09-02,London,United Kingdom,GBP,Creative Designer
YOUTUBE CHANNEL ,Social Media,Intermediate ($$),YouTube Marketing,USD,100.0,remote,ALL,fixed_price,2023-01-26 19:34:45,"Hi James based on your message following is the proposal which I am happy to proceed with. The all inclusive budget is $100

My proposal of $40 contains:
- Editing the About for the channel
- Creating and Editing a description template pre-made for all the videos.
- Editing the titles on ALL the videos (I usually charge for 10 titles, but for this project, I'll do them all since you don't have extremely many videos)
- Editing tags across all the videos that you have
- Generating tags that you can use in your future videos
- Editing playlists with description and tags.
- Fully optimizing your channel with SEO
- Give you tips on the new videos (on your niche category)
- Give you COMPLETELY FREE TOOL to generate tags and see which videos are searched in the niche of ""Pakistan"" and ""Travel"". It is widely used by lots of YouTubers that know it, so this one will definitely help you now and also in the future to generate real and organic traffic by your niche.

For additional rebrending such as Design and Video, I can offer to make you:
- A really nice YouTube channel banner
- Logo for your YouTube channel
- Create a template pre-made lower-third popups that you can use in your videos to promote your YouTube/Facebook and Instagram (if you have one, which is pretty important, if not no problem)
- Video Intro for your videos OR Video Intro for your reels (intros are different, either for a normal video or reel)
- Video Outro for your videos OR Video Outro for your reels (outros are different, either for a normal video or reel)
- Watermark for your videos, in case when your videos go trending people can not STEAL your idea. It will stop that.

The visual branding opportunity has not been included in the proposal since your original job requires only SEO and optimizing and managing your YouTube channel once. Although, if you would like, I would really be happy to make all these graphic changes because they can really SKYROCKET your YouTube channel, and I usually charge 100$, which in total would be $140, but in case you are interested and I want to start the new year by doing really nice work for only certain amount of the price, I will do everything for only",,2010-09-19,Purfleet,United Kingdom,USD,Diector
sales positions,"Marketing, Branding & Sales",Intermediate ($$),Sales & Calls,GBP,20.0,remote,ALL,hourly,2023-01-26 19:09:02,"i dont know if this is the right place for people who are looking for a sales role but i have an opportunity, for a fluent English speaking person with a competitive financial package. its self-employed and part time/flexible hours, job is mainly following up with a number of leads. your job will be to speak to individuals and provide follow up material, information, brochures and also arrange appointments etc. likely to be performance based but average is around £20/hour. theres also opportunity for a bigger role which involves sales, presentaition and closing.
ideally somebody from UK, Canada, New Zealand, Australia, South Africa, US or other country where English is the first language.  Obviously will need to consider time-difference as the people you will be calling will be in the UK, and allowable call times are UK 9am to 8pm typically, need a good telephone voice essential but no previous experience necessary, all training given online.",,2019-08-27,Chertsey,United Kingdom,GBP,
Photo Shoot for Music project,"Video, Photo & Image",Entry ($),Professional Photography,GBP,150.0,remote,ALL,fixed_price,2023-01-26 19:05:16,"I am looking for an experienced  photographer for a male music Artist for Press and Release 
London based.",,2017-08-29,London,United Kingdom,GBP,
Marketer & Sales People,"Marketing, Branding & Sales",Expert ($$$),Direct Marketing,GBP,120.0,remote,ALL,fixed_price,2023-01-26 18:41:05,"Trainee Marketer & Sales People

I am the best direct sales trainer I know. I have been training & developing people to sell themselves for the last 30 years, in the UK.  Face to face, telesales, consumer & business. 
I am now looking to build a brand new work from home team. 
For me to train & mentor you; you will need to be the following so please answer honestly to yourself before applying:-
1 – You must want to be the best.
2 – You must want to keep improving.
3 – You must be prepared to invest (time not money) in yourself and your development.
4- You must have a minimum of 6 hours a day available Monday to Friday & 2 to 4 hours at a weekend.
5 – You must be prepared to work hard. (You get out what you put in).
6 – You must have an enthusiastic, clear voice. (English)
7 – If you are interested in coaching, training or managing in the future, it would be an advantage.
8 – You must believe in the products you are promoting.

Please copy & paste links below to watch the company videos explaining our main products:

About our products:  https://drive.google.com/drive/folders/1QQzv-c24uVAkpdsQGRI_27K2gQB6e8VV?usp=share_link

Software video: ProactivPrivileges.co.uk/ OR https://www.youtube.com/watch?v=30Dvp39BlBM&t=1s

Product Images (zip files): https://drive.google.com/drive/folders/1_L-ks3zT4y7mEf_6ZOARqXL5hFwWPmn4?usp=share_link


We are not looking for those that are motivated purely by an hourly rate, hence why we pay a low hourly rate, with high commission & bonuses. The best sales people are interested in the earning potential & the opportunities success will bring because they aspire to be the best, not to be comfortable.

Some training topics
How to: develop (the mind, self-awareness, communication & work ethic), negotiating, set & achieve goals, maintain & safeguard a positive attitude, build confidence, influence people, stay in control, improve time management, improve planning & preparation, give yourself a pay rise every week, to name a few.

If you are interested in the opportunity then please leave a voice note introducing yourself, explaining your experience, what attracts you to the role, your availability for the role & for a remote interview.


Regards

Justin Kalay (M.D)
Proactiv Marketing LTD

Tel. / WhatsApp: +44 7534 957287
",,2012-03-20,Wandsworth,United Kingdom,GBP,M.D.
Caribbean / Jamaican English Voice Over Artists required,Music & Audio,Entry ($),Voice-Over,GBP,29.0,remote,ALL,fixed_price,2023-01-26 18:30:51,"Hi,

I have a few contents for recording in English with West Indies accent.

If you are an Artist from this region, pl write to us.

Thank you.",,2011-12-13,Mumbai,India,USD,Consultant
"Mock up pictures of Gilan 1800, 18500, Bella canva 3001",Design,Intermediate ($$),Fashion & Clothing,GBP,40.0,remote,ALL,fixed_price,2023-01-26 18:30:51,"Hi. What I need are mock up pictures of all the Gildan 1800 sweatshirts, Gildan 18500 hoodies, Bella Canvas 3001 

All I require are very good mock up picture for each colour they do. I will then add my design to the colours I need. Ideally I want a mock up picture of a person in each colour. Thank you ",,2020-01-21,Gloucester,United Kingdom,GBP,
Graphic Designer Needed for Magazine Covers,Design,Entry ($),Books & Magazines,USD,74.0,remote,ALL,fixed_price,2023-01-26 18:30:32,"We are searching for an experienced, reliable and talented designer to join our team on multiple graphic designing projects. If you have a passion for creating visually appealing and professional business-themed content for PowerPoints, infographics, and magazine covers, we want to hear from you. A strong portfolio showcasing your skills is a must for review. Don't miss this opportunity to showcase your talents and grow with our company.  You must have a strong command of the English language, be detail-oriented, and be able to work efficiently and accurately under a deadline.",,2023-01-26,Cuauhtemoc,Mexico,USD,
Remote Spanish Translation and Proofreading,Writing & Translation,Expert ($$$),Translation,GBP,275.0,remote,ALL,fixed_price,2023-01-26 18:42:24,"Nothing too complicated, I am looking to employ a translator who can translate documents effectively from Spanish to English without the use of translation apps like Google translate and others. This is a remote job with flexible working hours. Interested applicants should apply.",,2023-01-26,London,United Kingdom,GBP,
Art consultancy Studio,Design,Expert ($$$),3D Design,GBP,165.0,remote,ALL,fixed_price,2023-01-26 17:49:14,We are an  art consultancy working primarily within the hospitality  industry. We are looking  for a 3d render technician who can work with us on pitches and gained jobs. We have a live project that we currently require help with.,,2023-01-26,London,United Kingdom,GBP,
TEENSY CODER REQUIRED TO FIX CODING,Technology & Programming,Expert ($$$),Programming & Coding,GBP,23.0,remote,ALL,hourly,2023-01-26 17:39:32,We have a code for a teensy project that has some bugs and we require them to be fixed,,2013-07-14,London,United Kingdom,GBP,Business Development Consultant
Add Products in Magento 2,Technology & Programming,Expert ($$$),Website Development,GBP,253.0,remote,ALL,fixed_price,2023-01-26 17:28:18,"We need to add lots of products to our website.

Each product will have image, description, price and attributes.
There are over 1000 products needed to add to our current website.

Please contact us for more information.",,2020-01-22,Birmingham,United Kingdom,GBP,IT Team
Audacity editing ,"Video, Photo & Image",Expert ($$$),Image Editing,GBP,88.0,remote,ALL,fixed_price,2023-01-26 17:22:38,I need some simple audacity editing done,,2020-02-06,Norwich,United Kingdom,GBP,
Product configurator,Technology & Programming,Expert ($$$),Programming & Coding,GBP,363.0,remote,ALL,fixed_price,2023-01-26 17:22:54,"Hello, 
I would like help with developing a 'product configurator' in Excel for my business. For each of my customers, I would like to be able to select certain products and then be able to print out a Bill of Materials for each of the products selected. I would also need to be able to add new products (and there respective BOMs) in the future so the developer would need to should me how to do this. Please reach out to me if you are interested. 
Cheers
Dale
",,2023-01-26,Chatham,United Kingdom,GBP,
Need someone to sew swimwear from patterns,Design,Expert ($$$),Fashion & Clothing,GBP,21.0,remote,ALL,hourly,2023-01-26 17:22:27,I have swimwear patterns that needs to be seamstress to put together. Looking for someone with experience to pull together a small collection. ,,2015-05-05,London,United Kingdom,GBP,Business Analyst / Administration Assistant
I need a Vector flat created ,Design,Intermediate ($$),Fashion & Clothing,GBP,6.0,remote,ALL,fixed_price,2023-01-26 17:18:37,"Hi!

I need a vector flat created for some baseball top and shorts. I also need some mesh shorts created. I have the templates to go off. Very small quick project with potential for other projects!",,2021-08-22,Woking,United Kingdom,GBP,
Animated SVG on scroll,Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote,ALL,fixed_price,2023-01-26 17:28:31,I am creating a WordPress site and need help to animate some SVGs when they enter the browser viewport on scroll. This requires an experienced WordPress developer with knowledge of Javascript. I don't need help creating the SVGs which are already designed. Thank you!,,2012-04-04,Stoke-on-Trent,United Kingdom,GBP,
English or German voice over for a 15 minutes project,Writing & Translation,Intermediate ($$),Transcription,EUR,74.0,remote,ALL,fixed_price,2023-01-26 17:01:31,"Hello,
I'm looking for an English Voice Talent and a German Voice Talent to record a 15 minutes approx museum presentation/audio guide.

Please provide a quote and if it's possible (not mandatory) a small audition, here below a small part of the script.

Not too deep voices. They have been automatically translated, so edit them if necessary. The final translation will be done by a professional native speaker. 

SCRIPT SAMPLE FOR ENGLISH
Dear Guests, It is with great pleasure that our staff welcomes you inside Our Museum. Along this path we will take you through our history, traditions and values, making you live an unforgettable sensory experience.

SCRIPT SAMPLE FOR GERMAN
Liebe Gäste, mit großer Freude heißen unsere Mitarbeiter Sie in unserem Museum willkommen. Auf diesem Weg werden wir Sie durch unsere Geschichte, unsere Traditionen und unsere Werte begleiten und Ihnen ein unvergessliches sensorisches Erlebnis bieten.


Thank you,",,2023-01-26,London,United Kingdom,GBP,
Corporate Branding,"Marketing, Branding & Sales",Intermediate ($$),Branding,USD,350.0,remote,ALL,fixed_price,2023-01-26 17:00:49,"I have launched a distribution business and like to have a complete Branding done that will include

Creating; Logo, Brand Colors, Social Media layouts/design, Website Design and Development (7-10 pages), Brochure (2-4 pages), Business Card x 3

You must have expertise and understanding of branding and graphic design and web development. You can develop a nice and sleek design",,2010-09-19,Purfleet,United Kingdom,USD,Diector
Proofreading and Formatting,Writing & Translation,Expert ($$$),Proofreading,USD,280.0,remote,ALL,fixed_price,2023-01-26 17:01:31,"I need a document proofread, edited, and formatted. It's 37 pages and follows a prescribed template. MUST be a native English speaker with expert-level proofreading and Word skills. Needs to know how to apply styles, insert captions, format tables and charts according to the designated example.",,2023-01-26,Paris,France,EUR,
Developing AI Copywriting Tool Cadabra.ai,Technology & Programming,Expert ($$$),Website Development,GBP,1000.0,remote,ALL,fixed_price,2023-01-26 16:50:39,"We are looking to hire a developer or agency to develop an AI copywriting tool called Cadabra.ai. The primary target audience of this tool is students, marketers, and company founders. The tool should be able to generate content in any style the user wants, and be able to detect plagiarism and run AI checks. The developer should be able to build a simple and intuitive user interface, use GPT3 to generate responses to user questions, create a filtering system to adjust response length, writing level, and content type, create a referral system for users to upgrade their accounts, and ensure the platform is secure and able to handle large volumes of traffic and data. The developer should also be able to create an AI training model that can be trained based on user’s past writing, and an AB testing framework. The ultimate goal is to reach a profitable level of growth and to be able to raise money to create a full AI companion tool.

https://projects.invisionapp.com/share/AP135EWRYEUV#/screens/471808404_Screenshot_2023-01-26_At_10-41-00",,2020-12-07,London,United Kingdom,GBP,Freelance Web Developer and UI/UX Designer
New website design,Technology & Programming,Expert ($$$),Website Development,GBP,650.0,remote,ALL,fixed_price,2023-01-26 16:46:08,"Transfer existing website from GoDaddy to Wordpress. Below the requirements:

Features :
Unlimited Pages and sub Pages
Services in specific Categories
Search page
Fixed navigation bar
Mobile responsive with all handled devices
W3C validated
Logo integration
Enquiry form with relevant fields
Social media link integrations
Smart icons integration
Google Map integration with pinpoint location
Dynamic banners with slider effects
Customized Catalogue page
Blog page integration
Footer with quick links
Low bounce ratio
Basic Search Engine Optimization (SEO)
Advanced Gallery Management system

Technical Specification:
Language : PHP
Framework : WordPress
Database : MySQL
Frontend : HTML, CSS",,2020-12-23,Mitcham,United Kingdom,GBP,"Client Representative, Project Management, Cost Consultant"
German VAT reclaim,Business,Intermediate ($$),BREXIT Consulting,GBP,66.0,remote,ALL,fixed_price,2023-01-26 16:44:08,I need some to submit my VAT reclaim for an event we ran in July 2022 in Munich.  We are based in UK.  I have setup the BOP portal but need help submitting,,2019-07-25,Stoke-on-Trent,United Kingdom,GBP,
